,return_date,product_id,store_id,quantity
0,1997-01-01,250,6,1
1,1997-01-01,628,6,1
2,1997-01-01,869,6,1
3,1997-01-02,469,11,1
4,1997-01-02,532,23,2
5,1997-01-02,742,23,1
6,1997-01-02,761,11,1
7,1997-01-02,1396,11,1
8,1997-01-03,1,7,1
9,1997-01-03,365,7,2
10,1997-01-03,385,7,1
11,1997-01-03,671,7,1
12,1997-01-03,1329,23,2
13,1997-01-05,70,15,1
14,1997-01-05,461,7,1
15,1997-01-05,469,23,1
16,1997-01-05,850,7,1
17,1997-01-05,927,7,1
18,1997-01-05,961,23,1
19,1997-01-05,987,23,1
20,1997-01-05,1117,23,1
21,1997-01-05,1292,15,1
22,1997-01-05,1458,23,1
23,1997-01-06,23,24,1
24,1997-01-06,40,24,2
25,1997-01-06,43,6,1
26,1997-01-06,85,24,1
27,1997-01-06,193,24,1
28,1997-01-06,464,3,1
29,1997-01-06,918,3,1
30,1997-01-06,1104,24,2
31,1997-01-06,1296,3,1
32,1997-01-07,310,13,1
33,1997-01-07,418,13,1
34,1997-01-07,599,13,1
35,1997-01-07,638,13,1
36,1997-01-07,1078,13,1
37,1997-01-07,1152,13,2
38,1997-01-07,1257,11,1
39,1997-01-09,132,23,1
40,1997-01-09,254,3,1
41,1997-01-09,290,3,1
42,1997-01-09,568,23,1
43,1997-01-09,1081,3,2
44,1997-01-09,1164,3,1
45,1997-01-09,1230,3,1
46,1997-01-09,1371,23,1
47,1997-01-10,12,24,2
48,1997-01-10,238,24,1
49,1997-01-10,358,24,1
50,1997-01-10,964,24,1
51,1997-01-11,75,13,1
52,1997-01-11,107,13,1
53,1997-01-11,188,13,2
54,1997-01-11,189,13,1
55,1997-01-11,229,13,2
56,1997-01-11,391,13,1
57,1997-01-11,412,24,2
58,1997-01-11,475,13,1
59,1997-01-11,484,6,1
60,1997-01-11,569,13,1
61,1997-01-11,590,13,1
62,1997-01-11,594,17,2
63,1997-01-11,669,17,2
64,1997-01-11,804,13,1
65,1997-01-11,915,24,1
66,1997-01-11,950,6,1
67,1997-01-11,959,13,1
68,1997-01-11,992,13,1
69,1997-01-11,1046,13,1
70,1997-01-11,1049,13,1
71,1997-01-11,1063,13,1
72,1997-01-11,1226,13,1
73,1997-01-11,1319,13,1
74,1997-01-11,1327,24,1
75,1997-01-11,1393,13,1
76,1997-01-11,1404,13,1
77,1997-01-11,1445,13,1
78,1997-01-12,361,7,1
79,1997-01-12,726,7,1
80,1997-01-13,466,17,1
81,1997-01-13,551,17,1
82,1997-01-13,592,17,1
83,1997-01-13,895,17,1
84,1997-01-13,982,17,1
85,1997-01-13,1107,15,2
86,1997-01-13,1291,3,1
87,1997-01-13,1523,15,2
88,1997-01-13,1531,17,1
89,1997-01-14,439,6,1
90,1997-01-14,1098,6,2
91,1997-01-15,366,24,1
92,1997-01-15,603,24,1
93,1997-01-15,879,24,1
94,1997-01-15,1162,24,1
95,1997-01-15,1179,24,1
96,1997-01-16,391,17,1
97,1997-01-16,551,17,2
98,1997-01-16,760,17,2
99,1997-01-16,1043,17,1
100,1997-01-16,1398,17,1
101,1997-01-16,1439,17,1
102,1997-01-17,17,6,1
103,1997-01-17,176,11,1
104,1997-01-17,194,6,2
105,1997-01-17,320,24,1
106,1997-01-17,598,24,2
107,1997-01-17,865,24,1
108,1997-01-17,952,11,2
109,1997-01-17,954,24,2
110,1997-01-17,1004,11,1
111,1997-01-17,1271,24,1
112,1997-01-18,13,15,1
113,1997-01-18,139,15,1
114,1997-01-18,360,15,1
115,1997-01-18,537,15,1
116,1997-01-19,167,7,1
117,1997-01-19,434,16,1
118,1997-01-19,455,7,1
119,1997-01-19,497,7,1
120,1997-01-19,1051,16,1
121,1997-01-19,1337,7,1
122,1997-01-19,1463,7,1
123,1997-01-19,1496,16,2
124,1997-01-19,1542,7,1
125,1997-01-20,93,11,1
126,1997-01-20,100,13,1
127,1997-01-20,197,16,1
128,1997-01-20,271,13,1
129,1997-01-20,443,7,1
130,1997-01-20,563,16,1
131,1997-01-20,683,11,1
132,1997-01-20,784,13,1
133,1997-01-20,860,11,1
134,1997-01-20,894,7,1
135,1997-01-20,1038,11,1
136,1997-01-20,1045,16,2
137,1997-01-20,1053,16,1
138,1997-01-20,1212,11,1
139,1997-01-20,1218,13,1
140,1997-01-20,1220,13,1
141,1997-01-20,1355,16,1
142,1997-01-20,1357,13,2
143,1997-01-20,1402,13,1
144,1997-01-20,1556,16,1
145,1997-01-21,259,3,1
146,1997-01-21,360,16,1
147,1997-01-21,486,16,1
148,1997-01-21,520,3,2
149,1997-01-21,651,13,1
150,1997-01-21,851,13,1
151,1997-01-21,921,13,1
152,1997-01-21,952,13,1
153,1997-01-21,1169,3,1
154,1997-01-21,1452,16,1
155,1997-01-21,1481,3,2
156,1997-01-23,179,13,1
157,1997-01-23,328,13,1
158,1997-01-23,688,13,1
159,1997-01-23,1432,13,2
160,1997-01-23,1549,13,1
161,1997-01-25,222,15,1
162,1997-01-25,324,16,1
163,1997-01-25,358,23,1
164,1997-01-25,375,16,1
165,1997-01-25,810,15,1
166,1997-01-25,814,15,2
167,1997-01-25,990,23,1
168,1997-01-25,1147,3,2
169,1997-01-25,1295,15,2
170,1997-01-26,43,17,1
171,1997-01-26,603,17,1
172,1997-01-26,1013,17,1
173,1997-01-26,1185,17,1
174,1997-01-26,1273,17,2
175,1997-01-26,1397,17,1
176,1997-01-26,1428,17,1
177,1997-01-27,393,15,1
178,1997-01-27,530,15,1
179,1997-01-27,623,15,2
180,1997-01-28,231,11,1
181,1997-01-29,501,17,1
182,1997-01-29,755,17,1
183,1997-01-29,936,17,1
184,1997-01-29,1161,17,1
185,1997-01-29,1293,17,2
186,1997-01-29,1526,17,1
187,1997-02-01,302,3,1
188,1997-02-01,663,3,1
189,1997-02-01,882,3,2
190,1997-02-01,1440,3,1
191,1997-02-02,637,15,1
192,1997-02-02,921,16,1
193,1997-02-02,1054,15,1
194,1997-02-02,1442,15,2
195,1997-02-02,1473,15,1
196,1997-02-03,97,24,2
197,1997-02-03,196,13,1
198,1997-02-03,247,15,1
199,1997-02-03,292,24,1
200,1997-02-03,466,16,1
201,1997-02-03,539,24,1
202,1997-02-03,684,15,1
203,1997-02-03,900,13,1
204,1997-02-03,928,15,1
205,1997-02-03,1067,13,1
206,1997-02-03,1140,15,1
207,1997-02-03,1190,24,1
208,1997-02-03,1201,16,2
209,1997-02-03,1351,13,1
210,1997-02-03,1464,15,1
211,1997-02-04,653,15,1
212,1997-02-04,687,15,1
213,1997-02-04,1244,15,1
214,1997-02-04,1246,15,1
215,1997-02-04,1275,15,2
216,1997-02-05,210,11,2
217,1997-02-05,283,11,1
218,1997-02-05,389,11,1
219,1997-02-05,642,11,1
220,1997-02-05,789,11,1
221,1997-02-05,907,24,1
222,1997-02-05,1076,11,2
223,1997-02-05,1168,6,1
224,1997-02-07,71,23,1
225,1997-02-07,260,24,1
226,1997-02-07,408,24,1
227,1997-02-07,528,6,1
228,1997-02-07,709,24,1
229,1997-02-07,1080,6,1
230,1997-02-07,1447,6,1
231,1997-02-08,175,13,1
232,1997-02-08,479,13,1
233,1997-02-10,249,17,1
234,1997-02-10,972,17,1
235,1997-02-10,1090,17,1
236,1997-02-10,1502,17,1
237,1997-02-11,28,23,1
238,1997-02-11,91,11,2
239,1997-02-11,555,23,1
240,1997-02-11,625,11,1
241,1997-02-11,668,11,1
242,1997-02-11,1528,23,1
